1 14.0401
2 20.015
3 13.2551
4 11.2744
5 7.05848
6 6.19898
7 4.11745
8 3.45722
9 2.35523
10 2.12875
11 1.76942
12 1.48852
13 1.38369
14 1.04197
15 1.00835
16 1.01156
17 0.93873
18 0.734659
19 0.669036
20 0.688242
21 0.588207
22 0.404943
23 0.404943
24 0.384135
25 0.440155
26 0.270495
27 0.216076
28 0.358526
29 0.371331
30 0.192068
31 0.297705
32 0.230481
33 0.158456
34 0.136048
35 0.112039
36 0.115241
37 0.0592208
38 0.0912321
39 0.031211
40 0
41 0.0656231
42 0
43 0.103236
44 0.0352124
45 0
46 0.036813
47 0
48 0
49 0
50 0.0800282
51 0.0408144
52 0
53 0
54 0
55 0.0440155
56 0
57 0
58 0.0464163
59 0
60 0
61 0
62 0
63 0.0504177
64 0
65 0
