1 33.1402
2 24.5604
3 10.8447
4 7.08898
5 3.59426
6 2.65201
7 1.52175
8 1.12362
9 0.676826
10 0.557386
11 0.409192
12 0.33399
13 0.280905
14 0.196855
15 0.176948
16 0.170313
17 0.139347
18 0.112804
19 0.0973214
20 0.0928977
21 0.0752029
22 0.0508726
23 0.0486607
24 0.0420252
25 0.0486607
26 0.0287541
27 0.0221185
28 0.0353896
29 0.0331778
30 0.0176948
31 0.0265422
32 0.0176948
33 0.0132711
34 0.0110593
35 0.0088474
36 0.0088474
37 0.0044237
38 0.00663555
39 0.00221185
40 0
41 0.0044237
42 0
43 0.00663555
44 0.00221185
45 0
46 0.00221185
47 0
48 0
49 0
50 0.0044237
51 0.00221185
52 0
53 0
54 0
55 0.00221185
56 0
57 0
58 0.00221185
59 0
60 0
61 0
62 0
63 0.00221185
64 0
65 0
