1 14.0401
2 34.0551
3 47.3102
4 58.5846
5 65.6431
6 71.8421
7 75.9595
8 79.4167
9 81.772
10 83.9007
11 85.6701
12 87.1587
13 88.5423
14 89.5843
15 90.5927
16 91.6042
17 92.543
18 93.2776
19 93.9466
20 94.6349
21 95.2231
22 95.628
23 96.033
24 96.4171
25 96.8573
26 97.1278
27 97.3438
28 97.7024
29 98.0737
30 98.2658
31 98.5635
32 98.794
33 98.9524
34 99.0885
35 99.2005
36 99.3157
37 99.375
38 99.4662
39 99.4974
40 99.4974
41 99.563
42 99.563
43 99.6663
44 99.7015
45 99.7015
46 99.7383
47 99.7383
48 99.7383
49 99.7383
50 99.8183
51 99.8591
52 99.8591
53 99.8591
54 99.8591
55 99.9031
56 99.9031
57 99.9031
58 99.9496
59 99.9496
60 99.9496
61 99.9496
62 99.9496
63 100
64 100
65 100
