1 38.8047
2 66.4639
3 78.6755
4 86.4656
5 90.3673
6 93.2228
7 94.8486
8 96.043
9 96.7662
10 97.3546
11 97.7992
12 98.142
13 98.4362
14 98.6419
15 98.8277
16 99.0024
17 99.155
18 99.2678
19 99.3652
20 99.4603
21 99.5377
22 99.5886
23 99.6372
24 99.6815
25 99.7301
26 99.7589
27 99.781
28 99.8164
29 99.8518
30 99.8695
31 99.896
32 99.9159
33 99.9292
34 99.9402
35 99.9491
36 99.9579
37 99.9624
38 99.969
39 99.9712
40 99.9712
41 99.9756
42 99.9756
43 99.9823
44 99.9845
45 99.9845
46 99.9867
47 99.9867
48 99.9867
49 99.9867
50 99.9911
51 99.9933
52 99.9933
53 99.9933
54 99.9933
55 99.9955
56 99.9955
57 99.9955
58 99.9977
59 99.9977
60 99.9977
61 99.9977
62 99.9977
63 100
64 100
65 100
